date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:09:38	1128/1128	---M--	200	added ('OK')	text/html	etag:%228f7e6c60b0c06327ff96fe6e7279825d%22	https://veteranassistance.vzy.io/robots.txt		(from )
09:09:38	36605/36605	---M--	200	added ('OK')	text/html	etag:%2227a88c265fa71cc66aa4abacaae96802%22	https://veteranassistance.vzy.io/	C:/My%20Web%20Sites/kop/veteranassistance.vzy.io/index.html	(from )
09:09:41	402802/402802	---M--	200	added ('OK')	image/jpeg	etag:%22dc99e32e16663299de584a805017178d%22	https://vzy.s3.amazonaws.com/uploads/6535791fed6f023b4bff4a78/pt616p3c_1698290789245.jpeg	C:/My%20Web%20Sites/kop/vzy.s3.amazonaws.com/uploads/6535791fed6f023b4bff4a78/pt616p3c_1698290789245.jpg	(from https://veteranassistance.vzy.io/)
09:09:44	574841/574841	---MCZ	200	added ('OK')	text/css	etag:W/%2265d060c4-8c579%22	https://app.vzy.co/assets/css/vzy.css	C:/My%20Web%20Sites/kop/app.vzy.co/assets/css/vzy.css	(from https://veteranassistance.vzy.io/)
09:09:44	319931/319931	---M--	200	added ('OK')	image/png	etag:%22b84a9951c00e3bf2b4c54cc1db769080%22	https://vzy.s3.amazonaws.com/uploads/6535791fed6f023b4bff4a78/bh4nijfd_1698288727546.png	C:/My%20Web%20Sites/kop/vzy.s3.amazonaws.com/uploads/6535791fed6f023b4bff4a78/bh4nijfd_1698288727546.png	(from https://veteranassistance.vzy.io/)
09:09:47	319931/319931	---M--	200	added ('OK')	image/png	etag:%22b84a9951c00e3bf2b4c54cc1db769080%22	https://vzy.s3.amazonaws.com/uploads/6535791fed6f023b4bff4a78/p5nrns3f_1698055053023.png	C:/My%20Web%20Sites/kop/vzy.s3.amazonaws.com/uploads/6535791fed6f023b4bff4a78/p5nrns3f_1698055053023.png	(from https://veteranassistance.vzy.io/)
09:09:47	26529/26529	---MCZ	200	added ('OK')	application/javascript	etag:W/%2265d060c5-67a1%22	https://app.vzy.co/assets/js/allCountries.js	C:/My%20Web%20Sites/kop/app.vzy.co/assets/js/allCountries.js	(from https://veteranassistance.vzy.io/)
09:09:49	58758/58758	---MCZ	200	added ('OK')	application/javascript	etag:W/%2265d060c5-e586%22	https://app.vzy.co/assets/js/vzy.js	C:/My%20Web%20Sites/kop/app.vzy.co/assets/js/vzy.js	(from https://veteranassistance.vzy.io/)
09:09:55	24672/24672	---MCZ	200	added ('OK')	application/javascript	etag:W/%22656de555-6060%22	http://cdn.iframe.ly/embed.js	C:/My%20Web%20Sites/kop/cdn.iframe.ly/embed.js	(from https://veteranassistance.vzy.io/)
09:09:58	141695/141695	---MCZ	200	added ('OK')	application/javascript	etag:W/%2265d060c5-2297f%22	https://app.vzy.co/assets/js/tracker.js	C:/My%20Web%20Sites/kop/app.vzy.co/assets/js/tracker.js	(from https://veteranassistance.vzy.io/)
09:09:59	13360/13360	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03e2d-3430%22	https://cdnjs.cloudflare.com/ajax/libs/crypto-js/3.1.2/rollups/aes.js	C:/My%20Web%20Sites/kop/cdnjs.cloudflare.com/ajax/libs/crypto-js/3.1.2/rollups/aes.js	(from https://veteranassistance.vzy.io/)
09:10:03	29401/29401	---M-Z	200	added ('OK')	application/javascript	etag:%225f902e0e-72d9%22	https://cdnjs.cloudflare.com/ajax/libs/intl-tel-input/17.0.8/js/intlTelInput.min.js	C:/My%20Web%20Sites/kop/cdnjs.cloudflare.com/ajax/libs/intl-tel-input/17.0.8/js/intlTelInput.min.js	(from https://veteranassistance.vzy.io/)
09:10:06	12874809/12874809	---M--	200	added ('OK')	image/jpeg	etag:%226164b9450b4a10130a7b6ca2cd088b86-3%22	https://vzy.s3.amazonaws.com/uploads/6535791fed6f023b4bff4a78/ob420yxc_1698223764133.jpg	C:/My%20Web%20Sites/kop/vzy.s3.amazonaws.com/uploads/6535791fed6f023b4bff4a78/ob420yxc_1698223764133.jpg	(from https://veteranassistance.vzy.io/)
09:10:29	21280210/21280210	---M--	200	added ('OK')	image/jpeg	etag:%22c373630118c13a99243fe2221f68b43f-5%22	https://vzy.s3.amazonaws.com/uploads/6535791fed6f023b4bff4a78/cq074udj_1698224288276.jpg	C:/My%20Web%20Sites/kop/vzy.s3.amazonaws.com/uploads/6535791fed6f023b4bff4a78/cq074udj_1698224288276.jpg	(from https://veteranassistance.vzy.io/)
